Plot,Latin,Quadrat,x,y,TreeID,Tag,StemID,StemTag,Census,DBH,HOM,Date,Codes,Stem,Status,SpeciesNumber,StatusNumeric
bci,Acalypha diversifolia,0,6.2,15.6,230880,260033,2,,7,28,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,0,10.2,0.1,268527,400007,2,,7,,,18/01/2010,"D,N",main,dead,3,0
bci,Acalypha diversifolia,0,1.3,14.6,305779,500004,5,,7,,,18/01/2010,R,main,alive,3,1
bci,Acalypha diversifolia,0,1.2,15.8,305780,500005,2,,7,,,18/01/2010,R,main,alive,3,1
bci,Acalypha diversifolia,0,1.9,12.2,344834,700001,4,1,7,24,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,0,2.1,13.9,344835,700002,3,,7,25,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,0,0.1,16,344836,700003,2,1,7,18,1.3,18/01/2010,"L,M",main,alive,3,1
bci,Acalypha diversifolia,0,0.5,17.4,344837,700004,2,,7,15,1.3,18/01/2010,R,main,alive,3,1
bci,Acalypha diversifolia,0,4.1,17.2,344840,700007,2,1,7,29,1.3,18/01/2010,"L,M",main,alive,3,1
bci,Acalypha diversifolia,0,4.6,17.4,344841,700008,2,1,7,19,1.3,18/01/2010,"L,M",main,alive,3,1
bci,Acalypha diversifolia,0,4.2,16.6,344842,700009,1,,7,23,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,0,4.7,16.8,344843,700010,1,,7,34,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,0,4.8,17.2,344844,700011,1,,7,18,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,0,8.3,2.4,344850,700017,2,1,7,22,1.3,18/01/2010,M,main,alive,3,1
bci,Acalypha diversifolia,0,8.4,1.3,344851,700018,2,,7,,,18/01/2010,R,main,alive,3,1
bci,Acalypha diversifolia,0,10.6,1.2,344852,700019,2,1,7,34,1.3,18/01/2010,M,main,alive,3,1
bci,Acalypha diversifolia,0,18.9,0.2,345526,700699,3,1,7,49,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,0,0.09,14.88,455028,800000,1,,7,11,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,1,1.3,28.2,344872,700040,1,,7,103,1.3,19/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,1,2.7,28,344873,700041,2,,7,,,19/01/2010,R,main,alive,3,1
bci,Acalypha diversifolia,1,1.3,29.8,344877,700045,1,,7,42,1.3,19/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,1,0.3,31.8,344881,700049,4,1,7,53,1.3,19/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,1,5.7,31.4,344888,700056,1,,7,27,1.3,19/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,1,1.86,31.83,455044,800014,1,,7,16,1.3,19/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,13,10.6,270.3,345199,700372,3,1,7,27,1.3,11/02/2010,,main,alive,3,1
bci,Acalypha diversifolia,16,12.62,320.68,455561,800525,1,,7,53,1.3,22/02/2010,,main,alive,3,1
bci,Acalypha diversifolia,17,14,351.3,306100,500972,2,,7,,,23/02/2010,"D,N",main,dead,3,0
bci,Acalypha diversifolia,17,8.79,356.89,455586,800550,1,,7,15,1.3,23/02/2010,,main,alive,3,1
bci,Acalypha diversifolia,18,2.5,371.9,269002,400487,2,,7,,,24/02/2010,"D,N",main,dead,3,0
bci,Acalypha diversifolia,107,25.4,147.2,227692,256238,5,,7,,,27/01/2010,OR,main,alive,3,1
bci,Acalypha diversifolia,111,27.3,232,269670,401265,10,1,7,50,1.3,05/02/2010,,main,alive,3,1
bci,Acalypha diversifolia,111,25.7,230.14,455838,801154,1,,7,14,1.3,05/02/2010,,main,alive,3,1
bci,Acalypha diversifolia,116,22.4,336.7,345796,701271,3,1,7,52,1.3,18/02/2010,L,main,alive,3,1
bci,Acalypha diversifolia,119,26.45,390.93,456025,801338,1,1,7,23,1.3,24/02/2010,,main,alive,3,1
bci,Acalypha diversifolia,122,36.8,440.6,306411,501291,5,,7,,,03/03/2010,R,main,alive,3,1
bci,Acalypha diversifolia,123,31.15,473.6,456116,801428,1,,7,12,1.3,04/03/2010,,main,alive,3,1
bci,Acalypha diversifolia,123,34.81,473.74,456120,801432,1,,7,12,1.3,04/03/2010,,main,alive,3,1
bci,Acalypha diversifolia,200,49,14.3,221617,250053,17,1,7,42,1.3,18/01/2010,"L,R",main,alive,3,1
bci,Acalypha diversifolia,200,48.1,15.5,326576,602013,1,,7,,,18/01/2010,"D,T",main,dead,3,0
bci,Acalypha diversifolia,200,48.3,15.9,326577,602014,3,,7,16,1.3,18/01/2010,L,main,alive,3,1
bci,Acalypha diversifolia,200,48.5,16.2,326578,602015,5,1,7,67,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,200,48.6,16.6,326579,602016,2,,7,,,18/01/2010,"D,N",main,dead,3,0
bci,Acalypha diversifolia,200,45.2,10.3,326580,602017,2,,7,,,18/01/2010,"D,T",main,dead,3,0
bci,Acalypha diversifolia,200,46.9,8.6,326585,602022,3,,7,26,1.3,18/01/2010,L,main,alive,3,1
bci,Acalypha diversifolia,200,52.7,7.3,326594,602031,12,1,7,62,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,200,57.5,4.5,326639,602076,8,1,7,29,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,200,53.3,14.4,346129,702006,1,,7,35,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,200,53.1,13.3,346130,702007,4,1,7,43,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,200,51.8,17,346131,702008,3,1,7,34,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,200,51.8,17.9,346133,702010,1,,7,,,18/01/2010,"D,T",main,dead,3,0
bci,Acalypha diversifolia,200,58,15,346136,702013,2,1,7,31,1.3,18/01/2010,M,main,alive,3,1
bci,Acalypha diversifolia,200,58.3,15,346137,702014,1,,7,22,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,200,54.3,19.8,346542,702696,1,,7,,,18/01/2010,"D,T",main,dead,3,0
bci,Acalypha diversifolia,200,50.9,15.6,346543,702697,1,,7,,,18/01/2010,"D,T",main,dead,3,0
bci,Acalypha diversifolia,200,50.9,14.9,346545,702699,4,1,7,22,1.3,18/01/2010,"L,R",main,alive,3,1
bci,Acalypha diversifolia,200,51.58,10.88,456145,802002,1,,7,14,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,200,50.6,11.06,456146,802003,1,1,7,11,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,200,52.37,14.3,456147,802004,1,,7,23,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,200,48.39,16.8,456148,802700,1,,7,11,1.3,18/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,201,40.1,23.1,221734,250176,7,,7,,,19/01/2010,"D,T",main,dead,3,0
bci,Acalypha diversifolia,202,57.2,45.9,326747,602189,3,,7,,,19/01/2010,"D,N",main,dead,3,0
bci,Acalypha diversifolia,202,53.9,52.3,327228,602697,1,,7,29,1.3,19/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,203,51.2,69.2,222242,250691,12,,7,,,20/01/2010,R,main,alive,3,1
bci,Acalypha diversifolia,203,42.7,61.8,346539,702693,2,1,7,27,1.3,20/01/2010,M,main,alive,3,1
bci,Acalypha diversifolia,205,45.9,111.5,270303,402083,4,,7,,,25/01/2010,"D,N",main,dead,3,0
bci,Acalypha diversifolia,207,49.5,156.2,222928,251396,2,,7,,,26/01/2010,"D,N",main,dead,3,0
bci,Acalypha diversifolia,212,58.9,259.8,223888,252368,5,,7,,,05/02/2010,"D,N",main,dead,3,0
bci,Acalypha diversifolia,215,50.27,310.74,456303,802154,1,1,7,23,1.3,19/02/2010,,main,alive,3,1
bci,Acalypha diversifolia,222,52.5,454.1,307085,502643,2,,7,,,10/03/2010,"D,N",main,dead,3,0
bci,Acalypha diversifolia,222,49.8,455.3,327139,602600,6,1,7,32,1.6,10/03/2010,"L,R",main,alive,3,1
bci,Acalypha diversifolia,222,49.9,448.4,327141,602602,4,1,7,27,1.3,10/03/2010,"L,M",main,alive,3,1
bci,Acalypha diversifolia,222,50.3,453.6,327149,602610,5,1,7,69,1.3,10/03/2010,,main,alive,3,1
bci,Acalypha diversifolia,222,45.9,455.1,346393,702292,2,,7,,,10/03/2010,R,main,alive,3,1
bci,Acalypha diversifolia,222,48.7,454.4,346394,702293,1,,7,53,1.3,10/03/2010,,main,alive,3,1
bci,Acalypha diversifolia,222,48.4,454.8,347801,704661,2,,7,,,10/03/2010,"D,N",main,dead,3,0
bci,Acalypha diversifolia,222,45.25,455.49,456505,802357,1,,7,14,1.3,10/03/2010,,main,alive,3,1
bci,Acalypha diversifolia,222,46.3,455.26,456506,802358,1,,7,14,1.3,10/03/2010,,main,alive,3,1
bci,Acalypha diversifolia,222,48.28,456.3,456508,802360,1,,7,17,1.3,10/03/2010,L,main,alive,3,1
bci,Acalypha diversifolia,222,45.27,459.12,456509,802361,1,1,7,31,1.3,10/03/2010,,main,alive,3,1
bci,Acalypha diversifolia,222,58.04,454.71,456529,802381,1,1,7,24,1.3,10/03/2010,,main,alive,3,1
bci,Acalypha diversifolia,222,57.85,452.36,456532,802384,1,,7,18,1.3,10/03/2010,,main,alive,3,1
bci,Acalypha diversifolia,300,62.5,4.1,270945,403005,10,,7,,,18/01/2010,"D,T",main,dead,3,0
bci,Acalypha diversifolia,300,66.4,16.2,307269,503010,2,,7,,,18/01/2010,OR,main,alive,3,1
bci,Acalypha diversifolia,300,60.3,3.7,327238,603006,1,,7,,,18/01/2010,"D,T",main,dead,3,0
bci,Acalypha diversifolia,300,60.4,4,327239,603007,1,,7,,,18/01/2010,"D,N",main,dead,3,0
bci,Acalypha diversifolia,300,60.3,4.6,327240,603008,1,,7,,,18/01/2010,"D,N",main,dead,3,0
bci,Acalypha diversifolia,300,60.6,4.8,327241,603009,6,,7,,,18/01/2010,"D,N",main,dead,3,0
bci,Acalypha diversifolia,300,60.3,9.5,327244,603012,2,1,7,28,1.3,18/01/2010,M,main,alive,3,1
bci,Acalypha diversifolia,300,61.1,10.3,327245,603013,2,,7,,,18/01/2010,R,main,alive,3,1
bci,Acalypha diversifolia,300,60.4,10.7,327246,603014,2,,7,,,18/01/2010,R,main,alive,3,1
bci,Acalypha diversifolia,303,74.1,67.7,327298,603068,6,,7,,,20/01/2010,R,main,alive,3,1
bci,Acalypha diversifolia,303,77.7,70.8,327320,603090,1,,7,42,1.3,20/01/2010,,main,alive,3,1
bci,Acalypha diversifolia,303,79.1,65.4,327322,603092,4,,7,25,1.3,20/01/2010,L,main,alive,3,1
